축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율,도,시군구,회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
군산시간여행축제,2018,3,93059.0,36403.0,90.0,129552.0,43184.0,,,,129552.0,71.83,28.1,0.07,0.0,전북,군산시,2018.0,전북,군산시간여행축제,653087850.0,50000000.0,603087850.0,9.0,9.0,군산시간여행축제2018
군산시간여행축제,2019,3,90067.0,53838.0,72.0,143977.0,47992.3333,43184.0,11.1,129552.0,14425.0,62.56,37.39,0.05,11.13,전북,군산시,2019.0,전북,군산시간여행축제,637788680.0,30000000.0,607788680.0,10.0,10.0,군산시간여행축제2019
군산시간여행축제,2022,4,134175.0,76724.0,42.0,210941.0,52735.25,47992.3333,9.9,143977.0,66964.0,63.61,36.37,0.02,46.51,전북,군산시,2022.0,전북,군산시간여행축제,817596300.0,70000000.0,747596300.0,10.0,10.0,군산시간여행축제2022
군산시간여행축제,2023,4,179570.0,75490.0,135.0,255195.0,63798.75,52735.25,21.0,210941.0,44254.0,70.37,29.58,0.05,20.98,전북,군산시,2023.0,전북,군산시간여행축제,880673950.0,70000000.0,810673950.0,10.0,10.0,군산시간여행축제2023
금산인삼축제,2018,10,215278.0,224894.0,443.0,440615.0,44061.5,,,,440615.0,48.86,51.04,0.1,0.0,충남,금산군,2018.0,충남,금산인삼축제,2124975949.0,0.0,2124975949.0,10.0,10.0,금산인삼축제2018
금산인삼축제,2019,10,232728.0,225600.0,2305.0,460633.0,46063.3,44061.5,4.5,440615.0,20018.0,50.52,48.98,0.5,4.54,충남,금산군,2018.0,충남,금산인삼축제,2124975949.0,0.0,2124975949.0,10.0,10.0,금산인삼축제2019
금산인삼축제,2022,11,300315.0,267140.0,56.0,567511.0,51591.9091,46063.3,12.0,460633.0,106878.0,52.92,47.07,0.01,23.2,충남,금산군,2022.0,충남,금산인삼축제,2500000000.0,0.0,2500000000.0,9.0,10.0,금산인삼축제2022
금산인삼축제,2023,10,297531.0,253536.0,432.0,551499.0,55149.9,51591.9091,6.9,567511.0,-16012.0,53.95,45.97,0.08,-2.82,충남,금산군,2023.0,충남,금산인삼축제,3500000000.0,0.0,3500000000.0,10.0,10.0,금산인삼축제2023
금호강바람소리길축제,2019,2,55369.0,54782.0,398.0,110549.0,55274.5,,,,110549.0,50.09,49.55,0.36,0.0,대구,대구,2022.0,대구,금호강 바람소리길 축제,319564360.0,0.0,319564360.0,9.0,9.0,금호강바람소리길축제2019
금호강바람소리길축제,2022,2,59401.0,69725.0,14.0,129140.0,64570.0,55274.5,16.8,110549.0,18591.0,46.0,53.99,0.01,16.82,대구,대구,2022.0,대구,금호강 바람소리길 축제,319564360.0,0.0,319564360.0,9.0,9.0,금호강바람소리길축제2022
금호강바람소리길축제,2023,3,97531.0,102436.0,152.0,200119.0,66706.3333,64570.0,3.3,129140.0,70979.0,48.74,51.19,0.08,54.96,대구,대구,2023.0,대구,금호강 바람소리길 축제,469442320.0,0.0,469442320.0,9.0,9.0,금호강바람소리길축제2023
김제지평선축제,2018,5,43630.0,69298.0,336.0,113264.0,22652.8,,,,113264.0,38.52,61.18,0.3,0.0,전북,김제시,2018.0,전북,김제지평선축제,1999700000.0,30000000.0,1969700000.0,10.0,10.0,김제지평선축제2018
김제지평선축제,2019,10,71992.0,112269.0,193.0,184454.0,18445.4,22652.8,-18.6,113264.0,71190.0,39.03,60.87,0.1,62.85,전북,김제시,2019.0,전북,김제지평선축제,2299000000.0,0.0,2299000000.0,9.0,10.0,김제지평선축제2019
김제지평선축제,2022,5,59096.0,89065.0,6.0,148167.0,29633.4,18445.4,60.7,184454.0,-36287.0,39.88,60.11,0.0,-19.67,전북,김제시,2022.0,전북,김제지평선축제,2069839350.0,0.0,2069839350.0,9.0,10.0,김제지평선축제2022
