회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
2018,울산,서머페스티벌,900000000,0,900000000,7,7,서머페스티벌2018
2018,울산,한글문화예술제,570000000,0,570000000,10,10,한글문화예술제2018
2018,울산,창작뮤지컬 '외솔 겨레의 등불 최현배',749996670,0,749996670,7,9,창작뮤지컬 '외솔 겨레의 등불 최현배'2018
2018,울산,울산대공원 장미원 빛 축제,565090000,144559000,420531000,12,1,울산대공원 장미원 빛 축제2018
2018,울산,수요열린예술무대 뒤란,583263000,40278910,542984090,2,12,수요열린예술무대 뒤란2018
2018,울산,태화강 정원박람회,1491264742,0,1491264742,4,4,태화강 정원박람회2018
2018,울산,울산마두희축제,819000000,0,819000000,6,6,울산마두희축제2018
2018,울산,태화강 스프링 재즈페스티벌,360000000,0,360000000,5,5,태화강 스프링 재즈페스티벌2018
2018,울산,울산고래축제,1513174000,0,1513174000,7,7,울산고래축제2018
2018,울산,구립교향악단 정기연주회,437088000,0,437088000,1,12,구립교향악단 정기연주회2018
2018,울산,울산조선해양축제,498552500,200000000,298552500,7,6,울산조선해양축제2018
2018,울산,울산쇠부리축제,588000000,200000000,388000000,5,5,울산쇠부리축제2018
2018,울산,울산옹기축제,712500000,20000000,692500000,5,5,울산옹기축제2018
2018,울산,울산진하PWA세계윈드서핑대회,546555823,150000000,396555823,5,5,울산진하PWA세계윈드서핑대회2018
2018,울산,울산진하세계여자비치발리볼대회,378000000,0,378000000,7,7,울산진하세계여자비치발리볼대회2018
2018,울산,간절곶해맞이행사,437882000,200000000,237882000,12,1,간절곶해맞이행사2018
2018,울산,울주세계산악영화제,2350000000,0,2350000000,9,9,울주세계산악영화제2018
2018,세종,세종시민체육대회,504941820,0,504941820,10,10,세종시민체육대회2018
2018,세종,세종축제,1209879720,0,1209879720,10,10,세종축제2018
2018,경기,도(道)단위 생활체육대회 개최,616290820,0,616290820,4,10,도(道)단위 생활체육대회 개최2018
2018,경기,군장병 위문공연,536000000,0,536000000,4,10,군장병 위문공연2018
2018,경기,경기국제보트쇼,1299064081,0,1299064081,5,5,경기국제보트쇼2018
2018,경기,대한민국 뷰티박람회,1412752061,0,1412752061,10,10,대한민국 뷰티박람회2018
2018,경기,플레이엑스포,1700000000,0,1700000000,5,5,플레이엑스포2018
2018,경기,대한민국 우수상품 전시회(G-FAIR KOREA),1500000000,0,1500000000,10,10,대한민국 우수상품 전시회(G-FAIR KOREA)2018
2018,경기,안전산업박람회,552445900,0,552445900,11,11,안전산업박람회2018
2018,경기,찾아가는 경기관광박람회,600000000,0,600000000,4,4,찾아가는 경기관광박람회2018
2018,경기,DMZ국제다큐영화제,1983562591,0,1983562591,9,9,DMZ국제다큐영화제2018
2018,경기,경기정원문화박람회,500000000,0,500000000,10,10,경기정원문화박람회2018
2018,경기,판교 자율주행모터쇼,1600000000,0,1600000000,11,11,판교 자율주행모터쇼2018
2018,경기,수원화성문화제,1626876470,123904090,1502972380,10,10,수원화성문화제2018
2018,경기,정조대왕 능행차 연시,990021410,5644000,984377410,10,10,정조대왕 능행차 연시2018
2018,경기,정보과학축제,538185000,0,538185000,10,10,정보과학축제2018
2018,경기,수원 JS컵 U-18 국제 청소년 축구대회,439515000,0,439515000,4,4,수원 JS컵 U-18 국제 청소년 축구대회2018
2018,경기,기획전 개최,889080120,105325000,783755120,1,12,기획전 개최2018
2018,경기,수원 문화재 야행,597347200,0,597347200,8,9,수원 문화재 야행2018
2018,경기,수원연극축제,557028920,110000000,447028920,5,5,수원연극축제2018
2018,경기,시민체육대회,999738960,0,999738960,10,11,시민체육대회2018
2018,경기,경기도 체육대회,489569320,0,489569320,4,4,경기도 체육대회2018
2018,경기,경기도 지역대표공연예술제 지원사업 (의정부음악극축제),769200000,0,769200000,5,5,경기도 지역대표공연예술제 지원사업 (의정부음악극축제)2018
2018,경기,안양시민축제,582657340,0,582657340,9,9,안양시민축제2018
2018,경기,복사골예술제,360000000,0,360000000,5,5,복사골예술제2018
2018,경기,부천국제판타스틱영화제,2492345790,0,2492345790,7,7,부천국제판타스틱영화제2018
2018,경기,부천국제애니메이션페스티벌,1045851880,0,1045851880,10,10,부천국제애니메이션페스티벌2018
2018,경기,부천국제만화축제,449290000,0,449290000,8,8,부천국제만화축제2018
2018,경기,전국도단위 이상 대회 개최,307300000,0,307300000,3,12,전국도단위 이상 대회 개최2018
2018,경기,부천 세계비보이 대회,528969000,169900000,359069000,9,9,부천 세계비보이 대회2018
2018,경기,경기정원문화박람회,686500110,0,686500110,10,10,경기정원문화박람회2018
2018,경기,특별기획전시,307803000,0,307803000,1,11,특별기획전시2018
2018,경기,물놀이장 운영,340376530,43370000,297006530,7,8,물놀이장 운영2018
2018,경기,안산국제거리극,1267172412,0,1267172412,5,5,안산국제거리극2018
2018,경기,시장기 생활체육대회 개최,494138290,0,494138290,1,12,시장기 생활체육대회 개최2018
2018,경기,국제 및 전국대회 유치,300000000,0,300000000,1,12,국제 및 전국대회 유치2018
2018,경기,고양국제꽃박람회,1469219230,0,1469219230,4,5,고양국제꽃박람회2018
2018,경기,고양행주문화제,300000000,0,300000000,9,9,고양행주문화제2018
2018,경기,과천축제,1044507000,0,1044507000,9,9,과천축제2018
2018,경기,세계3쿠션 당구월드컵 개최,400000000,0,400000000,11,11,세계3쿠션 당구월드컵 개최2018
2018,경기,남양주 다산문화제,596247000,3324000,592923000,9,9,남양주 다산문화제2018
2018,경기,북한강 야외공연장 상설공연,336104610,2849000,333255610,4,10,북한강 야외공연장 상설공연2018
2018,경기,다산아트홀 공연 운영,499948160,52411000,447537160,5,12,다산아트홀 공연 운영2018
2018,경기,오산 독산성문화제,639878749,0,639878749,10,10,오산 독산성문화제2018
2018,경기,생활체육대회 개최 및 출전지원,493536000,0,493536000,3,10,생활체육대회 개최 및 출전지원2018
2018,경기,갯골축제,720000000,120000000,600000000,9,9,갯골축제2018
2018,경기,군포철쭉축제,451153000,0,451153000,4,4,군포철쭉축제2018
2018,경기,의왕철도축제,363405870,0,363405870,5,5,의왕철도축제2018
