그룹명,구분명,구분값,index
축제기간,내비게이션 검색량,0.7666143380429095,관악강감찬축제2022
축제기간,관광소비,0.4159668651089432,관악강감찬축제2022
축제기간,축제지 집중률,0.8832334452993326,관악강감찬축제2022
비축제기간,외부방문자 유입,0.7646187332867042,관악강감찬축제2022
비축제기간,현지인방문자 유입,0.8331965202294686,관악강감찬축제2022
비축제기간,내비게이션 검색량,0.516941391941392,관악강감찬축제2022
비축제기간,관광소비,0.4137220760649547,관악강감찬축제2022
비축제기간,축제지 집중률,0.8491670115171439,관악강감찬축제2022
축제기간,외부방문자 유입,0.5655779574961174,관악강감찬축제2019
축제기간,현지인방문자 유입,0.7482317347397687,관악강감찬축제2019
축제기간,내비게이션 검색량,0.5136116152450091,관악강감찬축제2019
축제기간,관광소비,0.4623171832200566,관악강감찬축제2019
축제기간,축제지 집중률,0.91174326659245,관악강감찬축제2019
비축제기간,외부방문자 유입,0.7044093749892866,관악강감찬축제2019
비축제기간,현지인방문자 유입,0.8520892105155566,관악강감찬축제2019
비축제기간,내비게이션 검색량,0.3692528735632184,관악강감찬축제2019
비축제기간,관광소비,0.4597589847111865,관악강감찬축제2019
비축제기간,축제지 집중률,0.8448005109403021,관악강감찬축제2019
축제기간,외부방문자 유입,0.0,관악강감찬축제2018
축제기간,현지인방문자 유입,0.0,관악강감찬축제2018
축제기간,내비게이션 검색량,0.0,관악강감찬축제2018
축제기간,관광소비,0.0,관악강감찬축제2018
축제기간,축제지 집중률,0.0,관악강감찬축제2018
비축제기간,외부방문자 유입,0.0,관악강감찬축제2018
비축제기간,현지인방문자 유입,0.0,관악강감찬축제2018
비축제기간,내비게이션 검색량,0.0,관악강감찬축제2018
비축제기간,관광소비,0.0,관악강감찬축제2018
비축제기간,축제지 집중률,0.0,관악강감찬축제2018
축제기간,외부방문자 유입,0.4232586474235793,광안리어방축제2023
축제기간,현지인방문자 유입,0.9121574489287494,광안리어방축제2023
축제기간,내비게이션 검색량,0.4845148585750089,광안리어방축제2023
축제기간,관광소비,0.5227804943533433,광안리어방축제2023
축제기간,축제지 집중률,0.7733864247278199,광안리어방축제2023
비축제기간,외부방문자 유입,0.3412578658989451,광안리어방축제2023
비축제기간,현지인방문자 유입,0.7734990034877928,광안리어방축제2023
비축제기간,내비게이션 검색량,0.4654605263157895,광안리어방축제2023
비축제기간,관광소비,0.5439730947530688,광안리어방축제2023
비축제기간,축제지 집중률,0.659775415052449,광안리어방축제2023
축제기간,외부방문자 유입,0.4913245032307841,광안리어방축제2022
축제기간,현지인방문자 유입,0.9421798207574444,광안리어방축제2022
축제기간,내비게이션 검색량,0.4582900657667013,광안리어방축제2022
축제기간,관광소비,0.6655855923904964,광안리어방축제2022
축제기간,축제지 집중률,0.7405185281516058,광안리어방축제2022
비축제기간,외부방문자 유입,0.4781691252163804,광안리어방축제2022
비축제기간,현지인방문자 유입,0.806446949985545,광안리어방축제2022
비축제기간,내비게이션 검색량,0.4341034960193839,광안리어방축제2022
비축제기간,관광소비,0.602239141778432,광안리어방축제2022
비축제기간,축제지 집중률,0.728368451978328,광안리어방축제2022
축제기간,외부방문자 유입,0.2917736999253076,광안리어방축제2019
축제기간,현지인방문자 유입,0.7685274819834356,광안리어방축제2019
축제기간,내비게이션 검색량,0.3261603375527426,광안리어방축제2019
축제기간,관광소비,0.4514950574072975,광안리어방축제2019
축제기간,축제지 집중률,0.6835701723449772,광안리어방축제2019
비축제기간,외부방문자 유입,0.3103837248365799,광안리어방축제2019
비축제기간,현지인방문자 유입,0.7849037323867915,광안리어방축제2019
비축제기간,내비게이션 검색량,0.3297995780590717,광안리어방축제2019
비축제기간,관광소비,0.396783843332167,광안리어방축제2019
