,Festival,name_year,month,year,visitors,cost,date,visit/cost,target
76,무주반딧불축제,무주반딧불축제2023,9,2023,207162,2199319210.0,2023-09-01,9.419369369305878e-05,family
77,문경찻사발축제,문경전통찻사발축제2018,4,2018,174830,1123725000.0,2018-04-01,0.0001555807693163363,old
78,문경찻사발축제,문경전통찻사발축제2019,4,2019,169912,1180000000.0,2019-04-01,0.00014399322033898306,old
79,문경찻사발축제,문경찻사발축제2022,4,2022,167085,1060162640.0,2022-04-01,0.00015760317681068255,old
80,문경찻사발축제,문경찻사발축제2023,4,2023,206359,1500000000.0,2023-04-01,0.00013757266666666667,old
81,밀양아리랑대축제,밀양아리랑대축제2018,5,2018,114258,2115391460.0,2018-05-01,5.401269796182311e-05,old
82,밀양아리랑대축제,밀양아리랑대축제2019,5,2019,112121,2217352000.0,2019-05-01,5.056526884319675e-05,old
83,밀양아리랑대축제,밀양아리랑대축제2022,9,2022,137219,2160000000.0,2022-09-01,6.352731481481482e-05,old
84,밀양아리랑대축제,밀양아리랑대축제2023,5,2023,141763,2200000000.0,2023-05-01,6.443772727272728e-05,old
85,보령머드축제,보령머드축제2018,7,2018,462312,2852869000.0,2018-07-01,0.00016205160489317946,family
86,보령머드축제,보령머드축제2019,7,2019,444810,2892180000.0,2019-07-01,0.0001537974814845549,family
87,보령머드축제,보령머드축제2022,7,2022,1663609,4542217000.0,2022-07-01,0.00036625484867851976,family
88,보령머드축제,보령머드축제2023,7,2023,841990,4578328000.0,2023-07-01,0.00018390774972872192,family
89,보성다향대축제,보성다향대축제2018,5,2018,79833,680000000.0,2018-05-01,0.0001174014705882353,old
90,보성다향대축제,보성다향대축제2019,5,2019,100353,870000000.0,2019-05-01,0.00011534827586206897,old
91,보성다향대축제,보성다향대축제2023,4,2023,180034,929003170.0,2023-04-01,0.00019379266488401756,old
92,봉화은어축제,봉화은어축제2018,7,2018,155543,1475114560.0,2018-07-01,0.0001054446916990637,family
93,봉화은어축제,봉화은어축제2019,7,2019,202350,2031275630.0,2019-07-01,9.961720458389982e-05,family
94,봉화은어축제,봉화은어축제2022,7,2022,183781,1660122016.0,2022-07-01,0.00011070330868981138,family
95,부안마실축제,부안마실축제2018,5,2018,117697,886684960.0,2018-05-01,0.000132738238844155,old
96,부안마실축제,부안마실축제2019,5,2019,125585,906075000.0,2019-05-01,0.00013860331650249704,old
97,부안마실축제,부안마실축제2023,5,2023,103738,1090204320.0,2023-05-01,9.515464037053164e-05,old
98,부천국제만화축제,부천국제만화축제2019,8,2019,628997,724273000.0,2019-08-01,0.000868452917615319,family
99,부천국제만화축제,부천국제만화축제2022,9,2022,497588,494486717.0,2022-09-01,0.0010062717215516227,family
100,부천국제만화축제,부천국제만화축제2023,9,2023,482310,680039619.0,2023-09-01,0.0007092380892590319,family
101,부평풍물대축제,부평풍물대축제2018,10,2018,276220,625851010.0,2018-10-01,0.0004413510493495888,youth
102,부평풍물대축제,부평풍물대축제2022,9,2022,271054,599488840.0,2022-09-01,0.00045214186138978,youth
