,Festival,name_year,month,year,visitors,cost,date,visit/cost,target,Fe_festival_conc,Fe_foreigner,Fe_local,Fe_navi,Fe_tour_fee,non_festival_conc,non_foreigner,non_local,non_navi,non_tour_fee,축제기간(일),도,index_y
51,담양대나무축제,담양대나무축제2023,5,2023,211828,600000000.0,2023-05-01,0.0003530466666666,family,0.7579750365347332,0.4217506115171249,0.7951283308811509,0.2547867298578199,0.6606572602140333,0.7248823627967761,0.3463429910435083,0.7375102174268432,0.2290555179417738,0.589666664484776,5.0,전남,담양대나무축제2023
52,대구약령시한방문화축제,약령시한방문화축제2023,5,2023,138110,20000000.0,2023-05-01,0.0069055,youth,0.7997496199872915,0.6345982164103559,0.667255985267035,0.8276127612761276,0.3655611928081959,0.8028245240406131,0.6783032406554239,0.7578729281767956,0.5951457645764576,0.4179546456265216,3.0,대구,약령시한방문화축제2023
53,대구치맥페스티벌,대구치맥페스티벌2018,7,2018,253716,1848087691.0,2018-07-01,0.0001372856933334,youth,0.8463121115210946,0.5888452455684094,0.9497490589711416,0.2625468164794007,0.5506549814650327,0.5527772204260086,0.3491501509580605,0.769228356336261,0.0989700374531835,0.5371559282785333,5.0,대구,대구치맥페스티벌2018
54,대구치맥페스티벌,대구치맥페스티벌2019,7,2019,249267,1911879081.0,2019-07-01,0.0001303780152611,youth,0.7614579717355543,0.5485594026378695,0.8347051679935231,0.3576592082616179,0.6289531332523196,0.5220572776132734,0.3423578707206586,0.6613075158548104,0.2087349397590361,0.6221468125441452,5.0,대구,대구치맥페스티벌2019
55,대구치맥페스티벌,대구치맥페스티벌2022,7,2022,227404,2182259481.0,2022-07-01,0.0001042057564555,youth,0.8655234345876095,0.7051369198023532,0.9172735760971056,0.6619335347432024,0.6689260788517063,0.3644506709572246,0.3073348229386253,0.6639962651727358,0.2550981873111782,0.6815357227246736,5.0,대구,대구치맥페스티벌2022
56,대구치맥페스티벌,대구치맥페스티벌2023,8,2023,227033,12420856644.0,2023-08-01,1.827836891666165e-05,youth,0.8917956726490691,0.832098991581031,0.8716427331544895,0.5513089005235602,0.6246820410050348,0.4366564740581125,0.3960851920795757,0.5990926305822944,0.2961387434554974,0.611621529104232,5.0,대구,대구치맥페스티벌2023
57,대전사이언스페스티벌,대전사이언스페스티벌2018,10,2018,181305,1215000000.0,2018-10-01,0.0001492222222222,family,0.6975077250992213,0.7345496557220139,0.7636241739297002,0.5359346082665022,0.7105832730412817,0.6083170871046795,0.5826538604251086,0.6819240254764869,0.4238702961135102,0.6805931475690399,4.0,대전,대전사이언스페스티벌2018
58,대전사이언스페스티벌,대전사이언스페스티벌2019,10,2019,170835,1160000000.0,2019-10-01,0.0001472715517241,family,0.6549171538017924,0.6581048923647109,0.7321910545594756,0.605755894590846,0.8244394407801123,0.6311921651973532,0.5913044043935769,0.7332664594177752,0.4519475265834489,0.7661624427917838,4.0,대전,대전사이언스페스티벌2019
59,대전사이언스페스티벌,대전사이언스페스티벌2022,10,2022,211322,1160000000.0,2022-10-01,0.000182174137931,family,0.7759185600070542,0.8191961515780134,0.775376526156314,0.5203333333333333,0.568504060449432,0.7162104842722194,0.7236276644772845,0.7681050040103378,0.478530303030303,0.5333261021895671,4.0,대전,대전사이언스페스티벌2022
60,대전사이언스페스티벌,대전사이언스페스티벌2023,10,2023,166751,1500000000.0,2023-10-01,0.0001111673333333,family,0.8077900697762483,0.8265863343274228,0.7059282154094617,0.7217447555678773,0.7996912228105775,0.6705670630102925,0.6201741613781175,0.6035175284715841,0.5913790315127991,0.776947243030018,3.0,대전,대전사이언스페스티벌2023
61,대전효문화뿌리축제,대전효문화뿌리축제2018,10,2018,113854,829284800.0,2018-10-01,0.0001372917964974,old,0.7567521336640264,0.4972099232859281,0.8329473521692141,0.3443438110459954,0.5903805208706545,0.5787907231552041,0.4303016455368334,0.6500373115125315,0.2866719943171728,0.6962852407465759,,,
62,대전효문화뿌리축제,대전효문화뿌리축제2019,9,2019,151684,799324450.0,2019-09-01,0.0001897652448889,old,0.9398337265090608,0.758822917548165,0.9518078407475116,0.6757062146892655,0.7445758071450959,0.5967784226246754,0.451055682491326,0.6537426366036969,0.378201506591337,0.7210226253015299,,,
63,대전효문화뿌리축제,대전효문화뿌리축제2022,10,2022,125565,815996600.0,2022-10-01,0.0001538793176344,old,0.8584395466750103,0.7763110097935219,0.9108100479819364,0.4393896580955072,0.6115998485439592,0.6949132559834964,0.6172020530856679,0.7514394580863675,0.3630380521804653,0.6321633056051522,3.0,대전,대전효문화뿌리축제2022
64,대전효문화뿌리축제,대전효문화뿌리축제2023,10,2023,124542,1192258000.0,2023-10-01,0.0001044589342239,old,0.9346013705330362,0.7860905929957069,0.9404623530931164,0.6847269624573379,0.6682430389508113,0.6638073113703172,0.5262770754443703,0.6986229497610745,0.4481477531285551,0.6390969886103175,3.0,대전,대전효문화뿌리축제2023
65,동래읍성역사축제,동래읍성역사축제2018,10,2018,202162,485000000.0,2018-10-01,0.0004168288659793,old,0.9539536359689984,0.7567943514472906,0.9612806889606555,0.4559471365638766,0.5874654598692751,0.8515771526983008,0.6691631945492788,0.8029916310726811,0.5188142437591776,0.6090370319583693,3.0,부산,동래읍성역사축제2018
66,동래읍성역사축제,동래읍성역사축제2019,10,2019,215114,446460000.0,2019-10-01,0.0004818214397706,old,0.9595364410568036,0.8324417389165591,0.9571065418154906,0.5602836879432623,0.5600059783723546,0.8451152257246846,0.7316994434471183,0.8010667052804324,0.5949263502454992,0.5754548241946673,3.0,부산,동래읍성역사축제2019
67,동래읍성역사축제,동래읍성역사축제2022,10,2022,216774,585438000.0,2022-10-01,0.0003702766134073,old,0.9853220616143206,0.8819739733794394,0.9610370883082424,0.8136107498916341,0.7480729290690897,0.8460694199751665,0.723627387803551,0.7797881698102325,0.6640117035110533,0.659698434143123,3.0,부산,동래읍성역사축제2022
68,동래읍성역사축제,동래읍성역사축제2023,10,2023,196352,631264000.0,2023-10-01,0.0003110457748263,old,0.8624049095692822,0.7659882912921594,0.9673166202414112,0.6413255360623782,0.6196042447914422,0.7833378709806429,0.708279777058198,0.8245937790157846,0.6194444444444445,0.4942908046109565,3.0,부산,동래읍성역사축제2023
69,목포항구축제,목포항구축제2018,10,2018,51258,602750000.0,2018-10-01,8.504023226876814e-05,old,0.7913034278200568,0.5683014685508452,0.6364861223389922,0.3564870259481038,0.533518249136231,0.6382726054192861,0.5276548078554689,0.5160895535794485,0.4116766467065868,0.6072915795805957,3.0,전남,목포항구축제2018
70,목포항구축제,목포항구축제2019,10,2019,89647,615000000.0,2019-10-01,0.0001457674796747,old,0.8950168705643525,0.7296603475513429,0.8875799883653287,0.4611604311984781,0.6533833560949485,0.6468687239098596,0.5349125679491487,0.5240146887725422,0.2803582752060875,0.6421027586925171,4.0,전남,목포항구축제2019
71,목포항구축제,목포항구축제2022,10,2022,97166,797501000.0,2022-10-01,0.000121838091739,old,0.9746773310706028,0.8472630997165846,0.9792891127903722,0.4596396396396396,0.676577236458869,0.7135965916178857,0.6308641802716406,0.5174923033865099,0.3748873873873873,0.6825329322465812,3.0,전남,목포항구축제2022
